title,url,date,company,stock_name,stock_code,pdf_link,success,path,error
[1Q25 Review] 하반기에 실적 개선 가시성 확..,https://finance.naver.comcompany_read.naver?nid=82715&page=2,25.05.02,한화투자증권,현대위아,011210,https://stock.pstatic.net/stock-research/company/16/20250502_company_118603000.pdf,True,./test/pdf_reports/한화투자증권_현대위아_250502_1Q25 Review 하반기에 실적 개선 가시성 확.pdf,
[1Q25 Review] 예상 대비 빠른 북미 시장 회..,https://finance.naver.comcompany_read.naver?nid=82714&page=2,25.05.02,한화투자증권,넥센타이어,002350,https://stock.pstatic.net/stock-research/company/16/20250502_company_246370000.pdf,True,./test/pdf_reports/한화투자증권_넥센타이어_250502_1Q25 Review 예상 대비 빠른 북미 시장 회.pdf,
"하반기 반등을 기대하나, 낮아진 가시성",https://finance.naver.comcompany_read.naver?nid=82713&page=2,25.05.02,한화투자증권,SK이노베이션,096770,https://stock.pstatic.net/stock-research/company/16/20250502_company_210726000.pdf,True,./test/pdf_reports/한화투자증권_SK이노베이션_250502_하반기 반등을 기대하나 낮아진 가시성.pdf,
"ESS 시장 성장, 그보다 뼈아픈 EV의 둔화",https://finance.naver.comcompany_read.naver?nid=82712&page=2,25.05.02,한화투자증권,LG에너지솔루션,373220,https://stock.pstatic.net/stock-research/company/16/20250502_company_412782000.pdf,True,./test/pdf_reports/한화투자증권_LG에너지솔루션_250502_ESS 시장 성장 그보다 뼈아픈 EV의 둔화.pdf,
관세로 인해 실적 회복 불확실성 확대,https://finance.naver.comcompany_read.naver?nid=82711&page=2,25.05.02,한화투자증권,LG화학,051910,https://stock.pstatic.net/stock-research/company/16/20250502_company_103651000.pdf,True,./test/pdf_reports/한화투자증권_LG화학_250502_관세로 인해 실적 회복 불확실성 확대.pdf,
"가이던스 상향 조정, 그러나 실수요 확인 필..",https://finance.naver.comcompany_read.naver?nid=82710&page=2,25.05.02,한화투자증권,엘앤에프,066970,https://stock.pstatic.net/stock-research/company/16/20250502_company_236072000.pdf,True,./test/pdf_reports/한화투자증권_엘앤에프_250502_가이던스 상향 조정 그러나 실수요 확인 필.pdf,
[1Q25 Review] 폴란드향 무기체계 인도 순항 ..,https://finance.naver.comcompany_read.naver?nid=82709&page=2,25.05.02,한화투자증권,한화에어로스페이스,012450,https://stock.pstatic.net/stock-research/company/16/20250502_company_322018000.pdf,True,./test/pdf_reports/한화투자증권_한화에어로스페이스_250502_1Q25 Review 폴란드향 무기체계 인도 순항 .pdf,
2Q25부터 TC본더 벤더 재편 수혜 본격화,https://finance.naver.comcompany_read.naver?nid=82708&page=2,25.05.02,한화투자증권,한화비전,489790,https://stock.pstatic.net/stock-research/company/16/20250502_company_700447000.pdf,True,./test/pdf_reports/한화투자증권_한화비전_250502_2Q25부터 TC본더 벤더 재편 수혜 본격화.pdf,
[1Q25 Review] 바이오가 다했다,https://finance.naver.comcompany_read.naver?nid=82707&page=2,25.05.02,한화투자증권,삼성물산,028260,https://stock.pstatic.net/stock-research/company/16/20250502_company_630002000.pdf,True,./test/pdf_reports/한화투자증권_삼성물산_250502_1Q25 Review 바이오가 다했다.pdf,
"1분기 선방했으나, 2분기 감익 불가피",https://finance.naver.comcompany_read.naver?nid=82706&page=2,25.05.02,한화투자증권,삼성전자,005930,https://stock.pstatic.net/stock-research/company/16/20250502_company_44216000.pdf,True,./test/pdf_reports/한화투자증권_삼성전자_250502_1분기 선방했으나 2분기 감익 불가피.pdf,
"Good Sales, Good Profit",https://finance.naver.comcompany_read.naver?nid=82705&page=2,25.05.02,한화투자증권,아모레퍼시픽,090430,https://stock.pstatic.net/stock-research/company/16/20250502_company_395757000.pdf,True,./test/pdf_reports/한화투자증권_아모레퍼시픽_250502_Good Sales Good Profit.pdf,
1Q25 Review : 중국 모멘텀 확대 전망,https://finance.naver.comcompany_read.naver?nid=82704&page=2,25.05.02,한화투자증권,F&F,383220,https://stock.pstatic.net/stock-research/company/16/20250502_company_62007000.pdf,True,./test/pdf_reports/한화투자증권_F&F_250502_1Q25 Review  중국 모멘텀 확대 전망.pdf,
[1Q25 Review] 부정을 이기는 긍정,https://finance.naver.comcompany_read.naver?nid=82703&page=2,25.05.02,한화투자증권,GS건설,006360,https://stock.pstatic.net/stock-research/company/16/20250502_company_502099000.pdf,True,./test/pdf_reports/한화투자증권_GS건설_250502_1Q25 Review 부정을 이기는 긍정.pdf,
"1Q25 Re: 압도적 이익률, 업사이드 유효",https://finance.naver.comcompany_read.naver?nid=82702&page=2,25.05.02,유안타증권,산일전기,062040,https://stock.pstatic.net/stock-research/company/18/20250502_company_210264000.pdf,True,./test/pdf_reports/유안타증권_산일전기_250502_1Q25 Re 압도적 이익률 업사이드 유효.pdf,
구조적 원가 정상화는 순항 중,https://finance.naver.comcompany_read.naver?nid=82701&page=2,25.05.02,유안타증권,DL이앤씨,375500,https://stock.pstatic.net/stock-research/company/18/20250502_company_941776000.pdf,True,./test/pdf_reports/유안타증권_DL이앤씨_250502_구조적 원가 정상화는 순항 중.pdf,
