title,content,source,url,published_at,collected_at
정은경 前 청장 직격탄장관 후보군서 제외,"관련 주식 투자 논란에 휘말리며 사실상 후보군에서 제외된 것으로 알려졌다. 대통령실이 보건복지부 장관... 기업 주식을 매입, 수익을 올린 정황이 나타났다. 정 전 청장은 문재인 정부 당시 질병관리본부장과 초대...",네이버뉴스,https://www.dailymedi.com/news/news_view.php?wr_id=926191,2025-06-23 22:38:00+09:00,2025-06-24 00:31:24.036934
미국 뉴욕증시 장초반 하락 출발나스닥 하락테슬라 상승엔비디아...,"미국 주식 보관금액 기준일은 6월 19일이다. 시차로 인해 이날 보관금액 데이터는 개장 당일 증시 흐름이 아닌 이전 거래일의 결과를 반영하고 있다. 해당 기준일 기준, 서학개미의 미국 주식 보관금액...",네이버뉴스,https://www.topstarnews.net/news/articleView.html?idxno=15706549,2025-06-23 22:38:00+09:00,2025-06-24 00:31:24.036934
"비트코인(BTC), SampP나스닥보다 안정적안전자산 전환 신호",비트코인(BTC)의 가격 변동성이 미국 주요 주식지수보다 낮은 수준으로 떨어지며 자산으로서의 성숙도를 드러내고 있다. 최근 이란과 이스라엘 간 갈등이 격화되는 와중에도 비트코인은 상대적으로 안정적인 흐름을...,네이버뉴스,https://www.tokenpost.kr/news/cryptocurrency/260262,2025-06-23 22:36:00+09:00,2025-06-24 00:31:24.036934
"경남도, 마창대교 재정지원금 중재 일부 승소",마창대교 전경 경남도 경남도가 마창대교 관리운영법인인 주식회사 마창대교(이하 마창대교)와 벌인 재정지원금 국제중재에서 21개월여 만에 일부 승소했다. 경남도는 홍콩 국제상업회의소(ICC)에서 마창대교에...,네이버뉴스,http://www.gnmaeil.com/news/articleView.html?idxno=565710,2025-06-23 22:34:00+09:00,2025-06-24 00:31:24.037931
마창대교 이용객 부담 더는 방안 강구해야,경남도가 주식회사 마창대교와 벌인 재정지원금 국제중재에서 21개월여 만에 일부 승소했다. 경남도가 미지급금 34억 원 중 지급보류 22억 원이 타당하다는 판정을 받았다. 홍콩 국제상업회의소(ICC)가 경남도의 일부...,네이버뉴스,http://www.gnmaeil.com/news/articleView.html?idxno=565801,2025-06-23 22:34:00+09:00,2025-06-24 00:31:24.037931
"NH투자증권, 하반기 해외 투자전략 고객세미나","2025 하반기 미국주식 투자전략 주제로 환율 변동, 금리 인하 등 다양한 경제변수에 맞서 명확한... 애널리스트 톰 리(Tom Lee)가 2025 하반기 미국주식 투자전략을 주제로 강연하고 있다. (출처 NH투자증권)...",네이버뉴스,https://www.webeconomy.co.kr/news/article.html?no=1234683,2025-06-23 22:32:00+09:00,2025-06-24 00:31:24.037931
"뉴욕증시 프리뷰, 중동 전면전 우려 속에도 미 주가선물 오름세...팔란티...","테슬라 로보택시 사진블룸버그 방산에너지주 강세항공주는 유가 부담에 약세 높아진 중동 불안 속 방산 관련 주식은 강세를 보였다. 노스롭 그루만(종목코드NOC) 록히드마틴(LMT) RTX(구 레이시온,RTX)...",네이버뉴스,https://www.newspim.com/news/view/20250623001034,2025-06-23 22:25:00+09:00,2025-06-24 00:31:24.037931
"지역이 성장하면 대한민국 성장 강기정 시장, 시도지사협 신성장론...","이어 조성호 한국과학기술기획평가원 성장동력사업센터장, 이지훈 전북연구원 주축신산업팀장, 박웅희 전남연구원 선임연구위원, 이복은 주식회사...",네이버뉴스,http://www.breaknews.com/1127247,2025-06-23 22:20:00+09:00,2025-06-24 00:31:24.037931
QampAI 카카오페이 주가 급등... 원인 및 단기 전망은,"참고 위 분석은 2025년 6월 23일 기준 웹 및 X 게시물 정보를 바탕으로 작성되었으며, 주식 투자는 시장 변동성 및 개인의 판단에 따라 리스크가 따를 수 있습니다. 해당 기사는 그록을 활용해 작성되었습니다. ( 원문...",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002379304?sid=105,2025-06-23 22:15:00+09:00,2025-06-24 00:31:24.037931
"일동홀딩스, 일동바사 지분 사모펀드 등 매도","주식 거래 규모는 발행 총 수의 47.6에 해당하는 381만 주로 금액으로는 300억 원 상당이다. 이달 중 1차분에... 일동홀딩스 측은 이번 일동바사 주식 매도는 기업 및 주주 가치를 제고하고, 계열사 운영과 사업 추진...",네이버뉴스,http://www.whosaeng.com/161942,2025-06-23 22:00:00+09:00,2025-06-24 00:31:24.037931
마창대교 법적 분쟁 승소통행료 인하 추진,"경상남도가 마창대교 주식회사와의 국제중재에서 일부 승소하면서, 최소 백억 원 이상, 예산을 아낄 수 있게 됐습니다. 경상남도가 민자사업자와 법적 분쟁에서 처음으로 이긴 사례입니다. 진정은 기자가 보도합니다....",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011975286?sid=101,2025-06-23 21:52:00+09:00,2025-06-24 00:31:24.037931
비트코인 강세장 종료?...애널리스트 quot아직 아니다quot 경고,"오히려 ETF 수혜가 기대되는 암호화폐 관련 주식으로의 자금 이동이 두드러진다고 덧붙였다. 솔라나(Solana)는 4월 반등 구간을 대부분 반납했으며, 100달러 이하에서는 지지선이 약하다고 경고했다. 바카이는...",네이버뉴스,http://coinreaders.com/168167,2025-06-23 21:46:00+09:00,2025-06-24 00:31:24.037931
중동 불안에도 삼천피 사수,미국의 이란 공격에 따른 중동 불안으로 위험자산 회피 심리가 확산하면서 23일 국내 주식과 원화 가치가 동반 하락했다. 중동발(發) 대형 악재로 금융외환시장 불확실성이 확대됐지만 코스피는 3천10대에서...,네이버뉴스,https://www.idaegu.co.kr/news/articleView.html?idxno=514122,2025-06-23 21:44:00+09:00,2025-06-24 00:31:24.037931
"지묘초, 석혜원 작가와의 만남",대구지묘초(교장 최영란)는 최근 6학년 학생들을 대상으로 주식회사 6학년 2반의 저자 석혜원 작가와 만남의... 특히 주식회사 6학년 2반은 자칫 딱딱하게 느껴질 수 있는 경제 지식을 초등학생들이 교실 안에서 회사를...,네이버뉴스,https://www.idaegu.co.kr/news/articleView.html?idxno=514100,2025-06-23 21:44:00+09:00,2025-06-24 00:31:24.037931
죽어도 죽지 않는다좀비 주식의 생존법,"오늘(23일)부터 짚어 볼 좀비 주식 문제도 그중 하나입니다. 죽어도 죽지 않는 좀비처럼, 퇴출당해야 할... 부실한 좀비 주식이 한국 증시를 어떻게 좀 먹는지, 또 주주를 어떻게 등치는지, 집중 진단합니다. 먼저, 송수진...",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011975244?sid=101,2025-06-23 21:40:00+09:00,2025-06-24 00:31:24.037931
증권가로수 메리츠증권한투증권한화증권NH증권아문디운용KB증권...,염승환 LS증권이사가 과거는 잊고 달라진 한국 주식시장과 동행하기를 주제로 강연을 진행한다. 염 이사는금리ㆍ환율 등 주가 결정요인한국 및 미국 신정부의 정책방향과 글로벌 경기전망국내 주식시장...,네이버뉴스,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202506230656152880857,2025-06-23 21:40:00+09:00,2025-06-24 00:31:24.037931
좀비 주식의 생존법배후엔 재벌가 큰 손,,네이버뉴스,https://n.news.naver.com/mnews/article/056/0011975254?sid=101,2025-06-23 21:39:00+09:00,2025-06-24 00:31:24.037931
100만 유튜버 사진도 도용해 사기부산 불법 투자 리딩 사기 피해 219억...,"게티이미지뱅크 큰 수익률을 보장해주겠다고 속여 돈을 편취하는 이른바 주식 리딩방 사기 피해가... 리딩방은 주식이나 가상화폐 투자 종목을 추천하거나, 대신 투자해주는 SNS 단체 채팅방 등을 의미한다....",네이버뉴스,https://n.news.naver.com/mnews/article/021/0002717908?sid=102,2025-06-23 21:34:00+09:00,2025-06-24 00:31:24.037931
미리보는 이데일리 신문에너지 동맥 막힐 판중동발 악몽 덮친 ...,"사설주식부동산에 과열 조짐, 유동성 부작용 경계해야 포토중동 분쟁에 환율 급등 호르무즈 봉쇄 임박 유일한 돈줄 포기 최후 카드 꺼낸 이란美 봉쇄 땐 中이 최대 피해 이란 내 무능한 정권...",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006047183?sid=102,2025-06-23 21:33:00+09:00,2025-06-24 00:31:24.037931
"한때 배럴당 80달러까지코스피 3,000선 지켜","박상현아이엠증권 리서치센터 전문위원 quot주식 시장 흐름 자체가 워낙 좋다 보니까 그 흐름 자체가 조금 반영된 부분들로, 공격적인 어떤 발언이라든지 뉴스가 아직은 좀 흘러나오지 않았다는 부분도.quot 원달러...",네이버뉴스,https://n.news.naver.com/mnews/article/056/0011975218?sid=101,2025-06-23 21:17:00+09:00,2025-06-24 00:31:24.037931
"일동홀딩스, 일동바이오 300억 투자 유치IPO 발판 마련","주식 거래 규모는 발행 총 수의 47.6에 해당하는 381만 주, 300억원 상당이며 이달 중 1차분에 대한 120억 원을... 일동홀딩스 측은 이번 일동바이오사이언스 주식을 활용한 지분 투자 유치가 기업 및 주주 가치를 제고하고...",네이버뉴스,https://www.cstimes.com/news/articleView.html?idxno=653139,2025-06-23 21:16:00+09:00,2025-06-24 00:31:24.037931
"이코노미 플러스개인전문투자자 2만5,000명인당 평균 6억2,000만원 투...","이들의 투자 포트폴리오를 분석한 결과 주식상장지수펀드(ETF)가 69.9로 가장 많고, 이어 채권(14.5), 펀드(14.3) 등 순이었다. 금감원은 quot일반투자자가 주식ETF 투자에 과도하게 집중(88.8)하고, 채권(6.5), 펀드(3.8...",네이버뉴스,https://n.news.naver.com/mnews/article/087/0001124911?sid=101,2025-06-23 21:05:00+09:00,2025-06-24 00:31:24.038930
"비트코인, 9만 2,000달러까지 떨어질까? 유동성 경고 신호","이란과 이스라엘 간 갈등에 미국까지 개입하며 주말 동안 시장에 단기 충격을 줬지만, 유가와 주식 선물은 급락 후 빠르게 반등해 장기 전쟁 가능성은 낮게 평가되고 있다. 분석 계정 더 코베이시 레터(The Kobeissi...",네이버뉴스,http://coinreaders.com/168158,2025-06-23 21:02:00+09:00,2025-06-24 00:31:24.038930
재주는 K게임이돈은 왕서방이 버네,K게임 지배력 넓혀가는 텐센트 크래프톤넷마블 투자넥슨 인수설 최근 텐센트홀딩스는 자사 게임 사업 강화 차원에서 일본 주식 시장에 상장된 넥슨 지분을 150억달러(약 20조원)에 인수하는 방안을 검토 중이라는...,네이버뉴스,https://n.news.naver.com/mnews/article/024/0000098029?sid=101,2025-06-23 21:01:00+09:00,2025-06-24 00:31:24.038930
남매 싸움부자 갈등한국콜마의 속사정,그러자 윤 회장은 경영 질서 파괴를 바로잡겠다며 윤 부회장을 상대로 주식 반환 소송을 제기했다. 남매... 5월 30일 서울중앙지방법원에 윤 부회장을 상대로 콜마홀딩스 주식 반환을 청구하는 소송을 제기했다. 앞서...,네이버뉴스,https://n.news.naver.com/mnews/article/024/0000098030?sid=101,2025-06-23 21:01:00+09:00,2025-06-24 00:31:24.038930
통합도 하기 전에...대한항공 곳곳서 잡음 스페셜리포트,집중투표제는 주주가 보유한 주식 수에 따라 선임할 이사 수만큼 의결권을 행사할 수 있는 제도다. 특정 이사 후보에게 의결권을 몰아줄 수 있어 대주주를 견제할 협상력을 키울 수 있다. 소수 주주가 바라는 이사를...,네이버뉴스,https://n.news.naver.com/mnews/article/024/0000098031?sid=101,2025-06-23 21:01:00+09:00,2025-06-24 00:31:24.038930
지방분권 강화첨단산업 경쟁력 제고 논의,"이어 조성호 한국과학기술기획평가원 성장동력사업센터장, 이지훈 전북연구원 주축신산업팀장, 박웅희 전남연구원 선임연구위원, 이복은 주식회사 에스씨크리에이티브 대표, 김운섭 광주테크노파크 정책기획본부장...",네이버뉴스,http://www.kjdaily.com/article.php?aid=1750679128658585002,2025-06-23 20:56:00+09:00,2025-06-24 00:31:24.038930
"공공기관 경영평가 결과 발표 HUG 기관장 해임 건의, 13개 기관 미흡...","공기업 중에서는 주택도시보증공사, 그랜드코리아레저(GKL), 주식회사에스알(SR), 제주국제자유도시개발센터(JDC), 대한석탄공사, 한국방송광고진흥공사가 D등급을 받았다. 준정부기관 중에서는 우체국물류지원단...",네이버뉴스,https://www.ggilbo.com/news/articleView.html?idxno=1096251,2025-06-23 20:56:00+09:00,2025-06-24 00:31:24.038930
"경기도, 공공기관 책임계약 평가결과 발표 우수사업 인센티브 지급","경기도주식회사, 경기교통공사, 경기주택도시공사) 경기 노인 AI 돌봄(경기도사회서비스원) 아이가치 돌봄 픽업 서비스(경기도사회적경제원, 경기도여성가족재단) 경력단절 없는 0.5amp0.75잡(경기도일자리재단) K...",네이버뉴스,https://www.ksmnews.co.kr/news/view.php?idx=547204,2025-06-23 20:45:00+09:00,2025-06-24 00:31:24.038930
"경남도, 마창대교 국제중재 일부 승소",경남도가 마창대교 관리운영법인인 주식회사 마창대교(이하 마창대교)와 벌인 재정지원금 국제중재에서 21개월여만에 일부 승소했다. 이에따라 도는 오는 2038년까지 138억 여원의 예산을 절감할 수 있을 것으로...,네이버뉴스,https://www.gnnews.co.kr/news/articleView.html?idxno=611979,2025-06-23 20:44:00+09:00,2025-06-24 00:31:24.038930
소프트캠프 주식 거래 정지...직원 횡령 발생,"회사는 직원의 횡령 혐의가 발생, 이에 따라 주식거래가 정지됐다고 23일 공시했다. 회사 측에 따르면... 코스닥시장 상장규정에 따르면, 상당한 규모의 횡령배임 혐의가 공시 등을 통해 확인되는 경우 주식...",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002379300?sid=105,2025-06-23 20:36:00+09:00,2025-06-24 00:31:24.038930
"신한은행, 다시한번 코리아 국내 주식형 펀드 가입금액 1천억원 돌파","신한은행은 지난 16일 신한 SOL뱅크 내 국내 주식형 펀드 추천 특화 페이지 다시한번 코리아를 새롭게 오픈, 이후 19일까지 국내 주식형 펀드 가입금액이 1천억원을 넘어서는 등 고객으로부터 큰 호응을 얻고 있다고 23일...",네이버뉴스,https://www.dailysportshankook.co.kr/news/articleView.html?idxno=408189,2025-06-23 20:36:00+09:00,2025-06-24 00:31:24.038930
삼천피 돌파에 국민연금 주식도 활짝내년엔 국내채권 기대,"코스피지수(KOSPI)가 3000포인트를 돌파하면서 국민연금의 국내주식 수익률이 양호하게 나올 것으로... 국내주식, 각 자산 중 최고 수익률벤치마크 상회 23일 국민연금공단 기금운용본부에 따르면 올해 3월...",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006047167?sid=101,2025-06-23 20:34:00+09:00,2025-06-24 00:31:24.038930
