year,quarter,stock_code,stock_name,매출액,영업이익,법인세차감전순이익,당기순이익,자산총계,부채총계,자본총계,자본금,이익잉여금
2024,1Q,000480,시알홀딩스,196660410060.0,10124916359.0,12616900104.0,9773834396.0,1627012949725.0,808716933976.0,818296015749.0,23445245000.0,598198834049.0
2024,1Q,000590,CS홀딩스,39357482675.0,4185348055.0,8603710329.0,7208735101.0,391992343311.0,39094287822.0,352898055489.0,5772410000.0,237427612456.0
2024,1Q,001040,CJ,10435840597000.0,576155649000.0,309370472000.0,150839495000.0,48646651469000.0,30660884932000.0,17985766537000.0,179047370000.0,4032579854000.0
2024,1Q,001460,BYC,38666832190.0,5147595741.0,5235241224.0,3969717551.0,689127079900.0,152702150525.0,536424929375.0,4200000000.0,524785764020.0
2024,1Q,011150,CJ씨푸드,52495885514.0,1333281364.0,1445692105.0,1427501055.0,174824533813.0,95392902113.0,79431631700.0,18065386500.0,63140038267.0
2024,1Q,024110,기업은행,,1029741000000.0,1027178000000.0,784473000000.0,453377431000000.0,421389767000000.0,31987664000000.0,4211365000000.0,21848409000000.0
2024,1Q,027410,BGF,118545089458.0,11321066936.0,14193423772.0,11504659314.0,2181998356159.0,282061699806.0,1899936656353.0,95716791000.0,823222803801.0
2024,1Q,079160,CJ CGV,392945522607.0,4540791362.0,-48009771350.0,-41089046392.0,3336244100845.0,2967880201810.0,368363899035.0,61216069500.0,-1284158582598.0
2024,1Q,095570,AJ네트웍스,244782826887.0,19471017345.0,6591549470.0,5283266850.0,1694333749687.0,1276252220138.0,418081529549.0,46822295000.0,238550884060.0
2024,1Q,097950,CJ제일제당,7215960546000.0,375944152000.0,207587372000.0,154627125000.0,30266022683000.0,18466372277000.0,11799650406000.0,81908095000.0,5783213048000.0
2024,1Q,138930,BNK금융지주,,311477465132.0,342108550219.0,254635531544.0,148971777549573.0,138138140473647.0,10833637075926.0,1629676230000.0,7225534097616.0
2024,1Q,267260,HD현대일렉트릭,800977985167.0,128779051600.0,122748406704.0,93417478481.0,3124840870657.0,2001551203349.0,1123289667308.0,180235675000.0,454613915936.0
2024,1Q,282330,BGF리테일,1953820037832.0,32625992551.0,30943439980.0,23401938961.0,3228597678277.0,2202125438389.0,1026472239888.0,17283906000.0,664680511199.0
2024,2Q,000120,CJ대한통운,3059182081054.0,125360555896.0,84902803894.0,61306671861.0,9530078602954.0,5557418695584.0,3972659907370.0,114061720000.0,1199605274844.0
